Timestamp,A1. What is your primary role in the FOSS community?,A2. How long have you participated in FOSS communities?,A3. How frequently do you use GenAI tools for FOSS-related activities?,A4. Which GenAI tools do you use? (Select all that apply.),A5. For which FOSS activities do you use GenAI? (Select all that apply.),B1. GenAI improves communication between core and peripheral contributors.,B2. GenAI makes it easier for peripheral contributors to communicate with core contributors.,B3. GenAI facilitates collaboration between core and peripheral contributors.,B4. GenAI helps peripheral contributors understand technical discussions involving core contributors.,B5. GenAI reduces communication barriers between contributors with different levels of technical expertise.,B6. GenAI increases the frequency of collaboration between core and peripheral contributors.,B7. GenAI enables peripheral contributors to contribute more effectively to collaborative tasks.,B8. GenAI improves the quality and clarity of interactions within FOSS communities.,C1. GenAI makes it easier for new and peripheral contributors to participate in FOSS projects.,C2. GenAI increases the frequency with which peripheral contributors make project contributions.,C3. GenAI increases the confidence of peripheral contributors to participate in project activities.,C4. GenAI reduces technical barriers that prevent peripheral contributors from contributing.,C5. GenAI helps peripheral contributors contribute to more complex project tasks.,C6. GenAI accelerates the learning process of peripheral contributors.,C7. GenAI increases opportunities for peripheral contributors to take on greater responsibilities.,C8. GenAI facilitates progression of peripheral contributors toward regular or core contributor roles.,C9. GenAI enables contributors with limited prior experience to become more active members of FOSS communities.,D1. GenAI makes FOSS communities more inclusive of contributors with different levels of technical expertise.,D2. GenAI creates greater opportunities for peripheral contributors to participate in community activities.,D3. GenAI reduces barriers to participation for less-experienced contributors.,D4. GenAI strengthens connections between core and peripheral contributors.,D5. GenAI increases interaction among contributors across different community roles.,D6. GenAI helps peripheral contributors establish stronger relationships within FOSS communities.,D7. GenAI reduces the social and technical distance between core and peripheral contributors.,D8. GenAI enables a wider range of contributors to participate in community discussions and decision-making.,D9. GenAI contributes to a more connected FOSS community structure.,E1. GenAI is changing the traditional distinction between core and peripheral contributors in FOSS communities.,E2. GenAI enables peripheral contributors to perform activities previously dominated by core contributors.,E3. GenAI is reducing the gap between core and peripheral contributors.,E4. GenAI is creating new pathways for peripheral contributors to move toward core roles.,E5. GenAI is making contributor roles within FOSS communities more fluid.,E6. GenAI is changing the distribution of knowledge and expertise between core and peripheral contributors.,E7. GenAI is creating new forms of contributor participation that are not fully represented by traditional Core–Periphery structures.,E8. GenAI is influencing the structure and relationships represented by the Onion model of FOSS communities.,E9. Existing Core–Periphery and Onion models need to be revised to account for GenAI-supported contribution.,E10. A revised FOSS community structure should explicitly recognize GenAI-supported contributors.,E11. GenAI-supported contribution should be incorporated into future models of FOSS community structure.,E12. GenAI has the potential to create a more connected and less rigid FOSS community structure.,"F1. In your experience, how has GenAI changed communication and collaboration between core and peripheral contributors?",F2. How has GenAI affected the participation and progression of peripheral contributors in your FOSS community?,F3. In what ways has GenAI made your FOSS community more or less inclusive and connected?,F4. How do you think the traditional Core–Periphery and Onion models should be revised to reflect the impact of GenAI?,"F5. What new contributor role, layer, or relationship do you think should be represented in a GenAI-informed FOSS community model?"
21/08/2026 16:53:57,Peripheral/new contributor,Less than 1 year,Often,ChatGPT,"Documentation, Problem solving, Learning/onboarding",4,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"GenAI acts as an asynchronous bridge between core maintainers and peripheral contributors. Peripheral contributors use tools like Copilot, ChatGPT, or LLM-based summary tools to draft clearer issue descriptions, pull request (PR) summaries, and better-formatted code before submission. This reduces the triage load on core maintainers, leading to more constructive, streamlined code reviews and fewer back-and-forth clarifications regarding simple style or syntax errors.","GenAI has lowered the entry barrier for casual or newcomer contributors by providing real-time code explanations, onboarding assistance, and assistance with boilerplate code or documentation tasks. Peripheral contributors can move from simple bug fixes to more complex code features faster because LLMs act as a personalized mentor. However, it can also lead to an influx of low-quality, AI-generated PRs that maintainers must filter, making non-trivial, well-documented contributions essential for true progression into core roles.","More inclusive: Language translation and code explanation capabilities allow non-native English speakers and beginner developers to articulate ideas clearly and participate in complex technical discussions.
Less connected / inclusive: Over-reliance on AI-generated responses in chat channels or code reviews can reduce meaningful human-to-human interaction, making communication feel robotic or impersonal. Additionally, automated spam or low-effort AI submissions can create reviewer fatigue and friction between core maintainers and new participants.","Traditional models assume human contributors progress through rigid levels of involvement—from passive users at the outer layer to peripheral contributors, active contributors, and finally core maintainers. Generative AI disrupts this linear progression and requires structural revisions:
Dynamic Fluidity Across Layers: AI tools allow peripheral contributors to instantly bridge technical skill gaps, performing tasks traditionally reserved for core members (such as writing complex code or debugging) without spending months in the community.
Separation of Task Execution vs. Architectural Governance: The core layer must shift focus from primary code authors to code auditors and community stewards. Core responsibilities will center on validating AI-generated contributions, maintaining project vision, and safety rather than sheer output.
Expanded Outer Layers: The periphery grows significantly due to low friction for lower-effort AI submissions, creating a larger buffer between casual contributors and maintainers.","A GenAI-informed Free and Open Source Software (FOSS) community model should explicitly integrate non-human actors and specialized human-AI workflows:
AI Agents as Synthetic Contributors: Non-human actors (autonomous code completion bots, issue triagers, or documentation tools) should occupy a dedicated functional layer operating alongside human participants.
AI Auditors / Verification Stewards: A distinct human role tasked specifically with reviewing AI-generated contributions for security, license compliance, code quality, and hallucinated dependencies.
Prompt Engineers and Context Cators: Contributors who specialized not in writing raw code, but in creating, tuning, and maintaining project-specific prompts, system instructions, and context files (e.g., .github/copilot-instructions.md).
Co-Pilot Relationship Dynamic: A formal hybrid relationship dynamic where humans act as supervisors and directors while AI operates as an accelerator across all traditional community layers."
21/08/2026 16:54:36,User/support contributor,1–2 years,Very often,"ChatGPT, GitHub Copilot, Google Gemini, Claude, Microsoft Copilot","Code generation, Code debugging, Documentation, Problem solving, Learning/onboarding, Communication, Testing/quality assurance, Decision support",5,4,4,4,4,5,5,5,5,5,4,4,5,4,5,5,5,4,3,3,3,4,4,3,5,5,4,5,4,5,4,5,4,4,4,5,5,4,It simplified learning and coding ,Increased dependency,,To be given priority and being promoted to users,Anything good will be superb
21/08/2026 17:01:42,Core developer/maintainer,1–2 years,Sometimes,ChatGPT,Problem solving,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"GenAI has made communication faster and easier, especially by helping contributors understand, discuss, and solve technical issues.","It has increased participation by helping new contributors learn quickly, understand code, and contribute with more confidence",GenAI has made the community more inclusive by reducing language and technical barriers and making information easier to access.,The models should be revised to show that contributors can move more easily between core and peripheral roles because of GenAI.,"A new role could be an AI-assisted contributor, who uses GenAI to learn, create, review, and collaborate with other contributors."
21/08/2026 17:03:14,Peripheral/new contributor,Less than 1 year,Sometimes,Claude,Problem solving,5,5,5,5,5,5,5,5,4,5,4,4,3,4,4,5,4,4,3,4,4,4,3,4,3,4,4,4,5,5,5,5,5,5,5,4,4,5,It helps in giving and providing idea,Contribute in a good participation,In has endured and ensure the easy learning,Help to reducei,New ai should be contributed in connecting core and peripheral
21/08/2026 18:26:41,User/support contributor,1–2 years,Sometimes,Claude,Learning/onboarding,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,
21/08/2026 18:51:01,User/support contributor,1–2 years,Sometimes,"ChatGPT, GitHub Copilot, Google Gemini, Claude","Code debugging, Documentation, Learning/onboarding",4,3,4,3,4,3,5,2,3,4,2,3,2,4,1,5,2,3,5,5,1,4,5,2,3,4,2,5,2,3,4,4,5,1,4,2,4,4,"GenAI has made communication faster, easier, and more inclusive, helping all contributors share ideas and collaborate effectively",It boosts peripheral contributors' entry and output but also weakens the deep learning interactions needed for them to progress into core roles,Through helping beginners understand coding and other technical skills ,Should shift from fixed to dynamic network where GenAI enables contributors to move between roles easily,Contributor layer
22/08/2026 05:19:48,Tester/QA,Less than 1 year,Often,"ChatGPT, Google Gemini, Claude, Microsoft Copilot","Code generation, Code debugging, Code review, Documentation, Problem solving, Learning/onboarding",5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,By giving us new ways of doing things ,Because GenAI does everything ,By giving us different languages ,,
22/08/2026 11:36:18,Project manager/community manager,Less than 1 year,Sometimes,Google Gemini,Documentation,4,5,5,5,5,4,4,5,5,5,5,4,4,4,4,4,3,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Always its supportive ,No comments ,No,Yeah,It should be free 
22/08/2026 13:35:51,User/support contributor,3–4 years,Very often,"ChatGPT, GitHub Copilot, Google Gemini, Claude","Code generation, Code debugging, Code review, Documentation, Problem solving, Learning/onboarding, Testing/quality assurance, Decision support",5,4,5,4,3,3,5,3,4,5,5,4,4,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,4,5,4,4,5,5,4,4,"GenAl has made collaboration more inclusive, faster, and accessible, particularly by helping peripheral contributors participate more effectively. However, human judgment and direct communication remain important to maintain trust, context, and accuracy.","GenAI has generally increased the participation and progression of peripheral contributors in FOSS communities. It helps new or occasional contributors understand unfamiliar code, documentation, issues, and development processes more quickly. AI tools can also assist with writing code, debugging, generating documentation, and preparing pull requests, which lowers the technical barrier to contribution.","GenAI has made my FOSS community more inclusive and connected by helping contributors overcome language, technical, and knowledge barriers. It allows beginners and peripheral contributors to understand code, documentation, and discussions more easily, while also helping with translation, debugging, and communication. This makes it easier for people with different skill levels and backgrounds to participate.","think the traditional Core–Periphery and Onion models should be revised to recognize GenAI as a new layer that can reduce the gap between core and peripheral contributors. GenAI allows peripheral contributors to understand complex code, documentation, and community practices more quickly, making it easier for them to move toward the core.","I think a “GenAI-Assisted Contributor” layer should be added between the traditional peripheral and core layers. These contributors use GenAI to understand the project, write code, solve issues, translate documentation, and participate in discussions."
23/08/2026 11:38:40,User/support contributor,3–4 years,Often,"ChatGPT, GitHub Copilot, Claude","Code generation, Problem solving, Learning/onboarding",4,4,4,3,4,4,4,5,4,4,4,4,3,5,4,4,3,4,4,3,3,4,3,4,4,4,4,4,3,3,3,4,4,4,3,3,4,4,,,,,
